YYYY-MM-DD,D01,D02,D03,D04,D05,avg_pax_D01,avg_pax_D02,avg_pax_D03,avg_pax_D04,avg_pax_D05,avg_fare_D01,avg_fare_D02,avg_fare_D03,avg_fare_D04,avg_fare_D05,avg_stddev_D01,avg_stddev_D02,avg_stddev_D03,avg_stddev_D04,avg_stddev_D05
2021-12-01,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Midtown East - Yellow Zone,Manhattan - Murray Hill - Yellow Zone,1.3672174929060257,1.3502706478086257,1.3547400611620795,1.3420312100281402,1.3441662226957911,10.093256551493907,9.881211803736685,12.446085626911316,12.39754412893323,11.6957378795951,6.363158225390022,6.143361477032418,9.233173745781187,9.112777897483342,9.856532546093394
2021-12-02,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Midtown East - Yellow Zone,Manhattan - Times Sq/Theatre District - Yellow Zone,1.3810066786121518,1.3811069354287666,1.4027752748242928,1.388002059732235,1.519205644107656,10.170915458543737,10.162931329005808,12.644350333393405,12.508604531410915,16.396616148419128,6.0488631688361565,6.543967301683767,9.200964825403856,9.537156736092522,14.082916843457332
2021-12-03,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Times Sq/Theatre District - Yellow Zone,Manhattan - Upper West Side South - Yellow Zone,1.3901558654634947,1.3817100891764293,1.4325553797468353,1.6096866096866096,1.4396617986164488,9.909985233798196,9.470886518622137,12.32389042721519,15.407564102564104,11.25047399436331,6.180203647823912,5.674667737096777,9.423695104654751,13.092244715927505,8.176846833664047
2021-12-04,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Clinton East - Yellow Zone,Manhattan - Lincoln Square East - Yellow Zone,Manhattan - East Village - Yellow Zone,1.4570182724252492,1.4335604770017036,1.5363427697016068,1.485780765253361,1.5122853368560105,9.509136212624584,9.781452299829642,14.034702881917879,10.777898138572906,11.67207397622193,6.636500830543527,6.930695409687576,11.418354987674421,7.349465657645634,7.517417876122761
2021-12-05,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Clinton East - Yellow Zone,Manhattan - Lincoln Square East - Yellow Zone,Manhattan - Upper West Side South - Yellow Zone,1.4621230111612444,1.4599713055954089,1.5049034175334324,1.484714780964387,1.491273432449903,9.962265495131799,9.588005738880918,13.93658543833581,11.044831389851876,11.408500323206207,7.18268773399675,7.933451662225468,12.805157626229994,8.113435360856963,8.857614738901148
2021-12-06,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Times Sq/Theatre District - Yellow Zone,Manhattan - Midtown East - Yellow Zone,1.388612983327421,1.3786578228638315,1.4002571244911077,1.5205839416058393,1.3810975609756098,9.70069173465768,9.522278579789308,12.11388472251982,15.614370802919709,12.021097560975608,6.892959367641576,6.39512128392326,9.882779002924815,14.097639382753224,9.986751590579637
2021-12-07,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Midtown East - Yellow Zone,Manhattan - Murray Hill - Yellow Zone,1.347121469362556,1.3582708565959483,1.3726859937128886,1.3106697224344284,1.3697478991596639,10.029063127025776,9.55913223799649,12.10789381767377,11.900713012477718,11.429170168067227,6.020295681149512,5.828959852229632,8.816294522600087,8.743667329043307,9.894072929957199
2021-12-08,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Midtown East - Yellow Zone,Manhattan - Murray Hill - Yellow Zone,1.3349929982884705,1.3432458082885164,1.3501925096254812,1.3272148800783161,1.332319391634981,10.089530107359575,9.98840714963619,12.842527126356318,12.343467939304944,11.713460076045626,6.33797748078199,6.20682417324838,9.277035960033887,8.998300456261195,9.04413225976138
2021-12-09,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Midtown East - Yellow Zone,Manhattan - Murray Hill - Yellow Zone,1.3743085433312845,1.3538840937114673,1.3971055418284504,1.3594627594627595,1.333248859604663,10.117910264290105,10.184232429099877,13.104818213907517,12.513362637362638,12.159680689305628,6.131300918201469,6.2396740467630485,9.664378303258097,9.229310693229325,9.213994941774283
2021-12-10,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - Midtown Center - Yellow Zone,Manhattan - Murray Hill - Yellow Zone,Manhattan - Lincoln Square East - Yellow Zone,1.381787521079258,1.3859022556390976,1.4413733534873678,1.4151242728714966,1.4084314262250206,10.240212478920743,10.259114661654136,12.943273591017059,12.57258064516129,11.085053380782917,6.546459034529424,6.5268336537132265,9.990940054499909,10.3298240467509,7.936920485486472
2021-12-11,Manhattan - Upper East Side North - Yellow Zone,Manhattan - Upper East Side South - Yellow Zone,Manhattan - East Village - Yellow Zone,Manhattan - Lincoln Square East - Yellow Zone,Manhattan - Clinton East - Yellow Zone,1.475678002582867,1.4704805491990847,1.5209068010075566,1.510326797385621,1.5185961236249346,9.96932845458459,9.616933638443935,11.687229219143578,11.097848366013073,14.350157150340493,7.27785428553354,6.703609924568086,7.644298224522857,7.961235657894849,12.3600688898226
