236;Manhattan,Upper East Side North,Yellow Zone;397196
237;Manhattan,Upper East Side South,Yellow Zone;359329
161;Manhattan,Midtown Center,Yellow Zone;287230
170;Manhattan,Murray Hill,Yellow Zone;247622
239;Manhattan,Upper West Side South,Yellow Zone;247594
