YYYY-MM;tip percentage;trips number
2003-01;0.23076923076923075;3
2009-01;0.13527205900613404;17
2009-12;0.19971671388101983;1
2012-02;NaN;1
2021-01;0.1580206288222649;86389
2021-10;0.16630669546436286;1
2021-11;0.18499353169469598;4
2021-12;0.1597341328746761;2361628
2022-01;0.15614566382281272;1788390
2022-02;0.15672618046586426;2296156
2022-03;0.15314719309339062;409
2022-04;0.14432401597261835;10
2022-05;0.1312741312741313;5
